7 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions"

--cache-ops 100
0.050231420,31843738,counts,branch-instructions
0.100944557,46862889,counts,branch-instructions
0.151519570,45863958,counts,branch-instructions
0.202158125,38746658,counts,branch-instructions
0.253059595,21936185,counts,branch-instructions
0.304271951,15317136,counts,branch-instructions
0.355735243,11944700,counts,branch-instructions
0.407127442,10002284,counts,branch-instructions
0.458942765,8815762,counts,branch-instructions
0.510520640,8161977,counts,branch-instructions
0.562237214,7777420,counts,branch-instructions
0.614385401,7454579,counts,branch-instructions
0.666177078,7046797,counts,branch-instructions
0.717747037,6769673,counts,branch-instructions
0.769002934,6641091,counts,branch-instructions
0.820702684,6417834,counts,branch-instructions
0.872165664,6524481,counts,branch-instructions
0.923690519,6082242,counts,branch-instructions
0.975597144,6007460,counts,branch-instructions
1.026804916,6119758,counts,branch-instructions
1.078482948,5925307,counts,branch-instructions
1.129887698,5855495,counts,branch-instructions
1.181047189,5817621,counts,branch-instructions
1.232523815,5813144,counts,branch-instructions
1.283767941,5615324,counts,branch-instructions
1.335645816,5581933,counts,branch-instructions
1.387330254,5515791,counts,branch-instructions
1.439020212,5497605,counts,branch-instructions
1.490906629,5500089,counts,branch-instructions
1.542739816,9006549,counts,branch-instructions
1.593774828,26379674,counts,branch-instructions
1.644305883,11334644,counts,branch-instructions
1.694945687,10791237,counts,branch-instructions
1.745529137,10471933,counts,branch-instructions
1.796041390,7494811,counts,branch-instructions
1.846695413,22200102,counts,branch-instructions
1.897158082,31393442,counts,branch-instructions
1.947585959,30016711,counts,branch-instructions
1.997990556,30301819,counts,branch-instructions
2.048305985,30219921,counts,branch-instructions
2.098660842,30354067,counts,branch-instructions
2.148965647,30262343,counts,branch-instructions
2.199320556,30324978,counts,branch-instructions
2.249631611,24582538,counts,branch-instructions
2.256616806,999423,counts,branch-instructions
693593123

0.050231420,297789,counts,branch-misses
0.100944557,371120,counts,branch-misses
0.151519570,374232,counts,branch-misses
0.202158125,459069,counts,branch-misses
0.253059595,499073,counts,branch-misses
0.304271951,545720,counts,branch-misses
0.355735243,570154,counts,branch-misses
0.407127442,707473,counts,branch-misses
0.458942765,607756,counts,branch-misses
0.510520640,656424,counts,branch-misses
0.562237214,652624,counts,branch-misses
0.614385401,730346,counts,branch-misses
0.666177078,715719,counts,branch-misses
0.717747037,776773,counts,branch-misses
0.769002934,709746,counts,branch-misses
0.820702684,731114,counts,branch-misses
0.872165664,754511,counts,branch-misses
0.923690519,747993,counts,branch-misses
0.975597144,722358,counts,branch-misses
1.026804916,661110,counts,branch-misses
1.078482948,716952,counts,branch-misses
1.129887698,690230,counts,branch-misses
1.181047189,701809,counts,branch-misses
1.232523815,663539,counts,branch-misses
1.283767941,813178,counts,branch-misses
1.335645816,861376,counts,branch-misses
1.387330254,787113,counts,branch-misses
1.439020212,839623,counts,branch-misses
1.490906629,859564,counts,branch-misses
1.542739816,767444,counts,branch-misses
1.593774828,524824,counts,branch-misses
1.644305883,40596,counts,branch-misses
1.694945687,22872,counts,branch-misses
1.745529137,374683,counts,branch-misses
