17 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
0.050157300,156638,br_mis_pred,(11.54%)
0.305424721,27250236,branch-loads,(12.39%)
2.084841750,13436242,branch-instructions,(12.72%)
0.305424721,809381,branch-load-misses,(13.17%)
0.827580350,8459004,cache-references,(13.36%)
0.101150586,72935615,branch-loads,(13.42%)
0.254125185,605508,br_mis_pred,(13.51%)
0.880399358,9047935,br_immed_retired,(13.65%)
2.128620586,26293507,L1-icache-loads,(15.16%)
0.254125185,24448070,br_immed_retired,(15.37%)
0.101150586,478,dTLB-load-misses,(15.67%)
0.203086222,54842723,cache-references,(15.81%)
0.203086222,118084834,bus-cycles,(15.95%)
0.880399358,636101,br_mis_pred,(16.03%)
2.128620586,9130058,branch-loads,(16.67%)
2.084841750,53256467,bus-cycles,(17.20%)
0.513257643,11522599,branch-loads,(17.21%)
2.084841750,214,iTLB-load-misses,(17.27%)
0.050157300,32493658,cache-references,(17.84%)
0.827580350,104119036,bus-cycles,(18.11%)
0.305424721,40370627,L1-icache-loads,(18.43%)
0.880399358,43,iTLB-load-misses,(18.46%)
0.305424721,323,dTLB-load-misses,(18.54%)
0.565299103,12074758,L1-dcache-loads,(18.67%)
0.827580350,209362697,cpu-cycles,(18.91%)
0.513257643,337,dTLB-load-misses,(19.27%)
2.128620586,15,dTLB-load-misses,(19.73%)
1.300879507,8708646,branch-loads,(19.78%)
1.090608261,39,iTLB-load-misses,(20.10%)
1.038023314,5775232,branch-instructions,(20.33%)
1.300879507,892,dTLB-load-misses,(20.40%)
1.300879507,169,iTLB-load-misses,(20.70%)
0.932662692,9918799,branch-loads,(21.14%)
1.038023314,117685742,bus-cycles,(21.14%)
0.152118508,56715738,L1-dcache-loads,(21.20%)
0.254125185,14,iTLB-load-misses,(21.38%)
1.505784993,16439785,branch-loads,(21.81%)
1.454901498,166479,br_mis_pred,(21.84%)
0.409198630,10369350,branch-instructions,(21.93%)
0.409198630,107127068,bus-cycles,(22.05%)
0.721658532,11530044,branch-loads,(22.16%)
1.090608261,7912530,br_immed_retired,(22.29%)
1.607487348,118975679,bus-cycles,(22.32%)
0.617749206,107195431,bus-cycles,(22.37%)
1.403963002,40568847,cache-references,(22.69%)
0.357072744,13503474,cache-references,(22.71%)
1.300879507,6311448,br_immed_retired,(22.72%)
1.607487348,29561973,cache-references,(22.77%)
0.101150586,403656,branch-load-misses,(22.84%)
0.203086222,31365597,branch-instructions,(22.88%)
0.461097226,551568,br_mis_pred,(22.93%)
1.090608261,710,dTLB-load-misses,(22.95%)
1.454901498,15430858,br_immed_retired,(23.04%)
0.050157300,43229074,br_immed_retired,(23.42%)
0.513257643,51,iTLB-load-misses,(23.43%)
0.461097226,15040384,br_immed_retired,(23.51%)
0.101150586,68,iTLB-load-misses,(23.52%)
1.505784993,556,dTLB-load-misses,(23.54%)
